id;artist;date;language  ;text;ad category;topic;place;adress;LATITUDE;LONGITUDE
DG2004/1161;Anonym (Künstler_in);um 1890;3;"Le Régiment; Roman Dramatique; PAR JULES MARY; JULES ROUFF & CIE., PARIS";entertainment;book;Paris;14 Cloitre St. Honoré;48,875786;2,303686
DG2004/1162;Anonym (Künstler_in);um 1890;3;"L'Enfant DU Bon Dieu; rooman dramatique inédit; PAR MAXIME VALORIS; JULES ROUFF & CIE., PARIS";entertainment;book;Paris;14 Cloitre St. Honoré;48,875786;2,303686
DG2004/1163;Anonym (Künstler_in);um 1890;3;"PAILLASSE; Par Adolphe d'Ennery; JULES ROUFF & CIE., PARIS";entertainment;book;Paris;14 Cloitre St. Honoré;48,875786;2,303686
DG2004/1164;Anonym (Künstler_in);um 1890;3;"LA JEUNE VEUVE; Roman inédit; PAR HENRI DEMESSE; JULES ROUFF & CIE., PARIS";entertainment;book;Paris;14 Cloitre St. Honoré;48,875786;2,303686
DG2004/1165;Anonym (Künstler_in);um 1890;3;"La Petite ORPHELINE; Roman Dramatique; PAR HENRI DEMESSE; JULES ROUFF & CIE., PARIS";entertainment;book;Paris;14 Cloitre St. Honoré;48,875786;2,303686
DG2004/1167;Anonym (Künstler_in);um 1890;3;"JENNY L'OUVRIÈRE; grand roman inédit; JULES ROUFF & CIE., PARIS";entertainment;book;Paris;14 Cloitre St. Honoré;48,875786;2,303686
DG2004/1168;Anonym (Künstler_in);um 1890;3;"Mam'zelle MISÈRE; grand roman inédit; PAR Pierre DECOURCELLE; JULES ROUFF & CIE., PARIS";entertainment;book;Paris;14 Cloitre St. Honoré;48,875786;2,303686
DG2004/1169;Anonym (Künstler_in);um 1890;3;"Mariée en blanc; roman inédit; Par HECTOR DE MONTPERREUX; AGENCE CH. ISTACE, BRUXELLES";entertainment;book;Brussels;;50,846647;4,352233
DG2004/1172;Anonym (Künstler_in);um 1890;3;"Paraitra le mercredi 28 sept.bre; LE JOURNAL; QUOTIDIEN, LITTÉRAIRE, ARTISTIQUE & POLITIQUE; 106 Rue de Richelieu, PARIS";entertainment;magazine;Paris;106 Rue de Richelieu;48,871367;2,339928
DG2004/1174;Anonym (Künstler_in);um 1890;3;"LES ROIS DE L'OCÉAN; PAR GUSTAVE AIMARD; F. ROY Edit. 222, Boul.St Germain";entertainment;book;Paris;222, Boul.St Germain;48,855505;2,327637
DG2004/1177;Anonym (Künstler_in);um 1890;3;"PATRIE; LA BELGIQUE SOUS LE DUC D'ALBE; VICTORIEN SARDOU; Librairie de L'INDEPENDANCE BELGE, 65, rue de l'Ecuyer, Bruxelles";entertainment;book;Brussels;65, rue de l'Ecuyer;50,848615;4,355388
DG2004/1178;Anonym (Künstler_in);um 1890;3;"LA REINE DU LAVOIR; Roman inédit; PAR Jules CARDOZE; Agence du Petit Journal, 32 rue du Marais, 32";entertainment;book;Paris;32 rue du Marais;48,853992;2,362365
DG2004/1179;Anonym (Künstler_in);um 1890;3;"L'AUBERGE SANGLANTE DE PEIREBEILHE; (Ardéche); 26 ans d'assassinat; par J. BEAUJOINT; Agence du Petit Journal,  32 rue du Marais, 32";entertainment;book;Paris;32 rue du Marais;48,853992;2,362365
DG2004/1182;Anonym (Künstler_in);um 1890;3;"Bains de Mer de Dunkerque; a 5 heures de Paris (2 express per jour); Plage de Malo-les-Bains";travel;train;Dunkerque;;51,034368;2,376776
DG2004/1183;Anonym (Künstler_in);um 1890;3;"MÉDITERRANÉE EXPRESS; Déport de Paris (Nord) a 11:53 soir les Mardis, Jeudis, Samedis";travel;train;Vintimille;;43,791237;7,607586
DG2004/1190;Anonym (Künstler_in);um 1890;3;"LA FAUVETTE DU MOULIN; PAR Richebourg; Roman dramatique inédit; JULES ROUFF & CIE.,";entertainment;book;Paris;14 Cloitre St. Honoré;48,875786;2,303686
DG2004/1210;Anonym (Künstler_in);um 1890;3;"PAR RECONCILIATION; Le Chateau COGNAC; A. JOULIN & Co.";food;alcohol;Cognac;;45,691046;-0,328744
DG2004/2659;Anonym (Künstler_in);um 1890;3;"Entrèe libre; GRAND CONCERT EUROPÉEN; 20 Rue de la Colline; Restaurant Ancien Coffy; BRUXELLES; GRAND CAFÉ RESTAURANT";entertainment;concert;Brussels;20 Rue de la Colline;50,846506;4,353513
DG2004/2669/1;Anonym (Künstler_in);um 1890;7;"VILLE DE BRUXELLES; Académie Royale DES BEAUX-ARTS ET ÉCOLE DES ARTS DÉCORATIFS; PLAN ET PROGRAMME DES ÉTUDES";entertainment;art college course;Brussels;;50,846647;4,352233
DG2004/2669/2;Anonym (Künstler_in);um 1890;3;"VILLE DE BRUXELLES; Académie Royale DES BEAUX-ARTS ET ÉCOLE DES ARTS DÉCORATIFS; PLAN ET PROGRAMME DES ÉTUDES";entertainment;art college course;"Ville de Bruxelles; Academie Royale des Beaux Arts";;50,846647;4,352233
DG2004/2672;Anonym (Künstler_in);um 1890;3;"Cette localité est desservie tous les vendredis; FÉLIX POTIN; 101-103 Boulevard Sébastopol; SERVICE DE BANLIEUE; Envoi Franco du Cataloge de la Banlieue.";travel;carriage service;Paris;101-103 Boulevard Sébastopol;48,865945;2,352174
DG2004/2673;Anonym (Künstler_in);um 1890;7;"JULES VERNE'S WONDERREIZEN; Nieuwe geillustreerde Uitgave; met meer dan 2600 gravuren; UITGAVE VAN J. LEBÈGUE & CO. BRUSSEL";entertainment;book ;Brussels;uitgave van J. Lebècue & Co, ;50,846647;4,352233
DG2004/2674;Anonym (Künstler_in);um 1890;3;"THÉÂTRE DE L'ALHAMBRA; DIX JOURS AUX PYRENÉES; Tous les soirs à 7 1/2 Hrs";entertainment;play;Paris;;48,856614;2,352222
DG2004/2675;Anonym (Künstler_in);um 1890;3;"AIX-LA-CHAPELLE; Station thermale de premier ordre sans rival.";entertainment;spa;Aix-La-Chapelle;Station thermale ;50,775346;6,083887
DG2004/2681;Anonym (Künstler_in);um 1890;3;"Aama Aama; Affiches Artistique G. Marci, Rue de la Senne 51, Bruxelles";household;artist posters;Brussels;Rue de la Senne 51;50,847009;4,339803
DG2004/2682;Anonym (Künstler_in);um 1890;3;"THÉÂTRE MOLIÈRE; LE FILS DE LA NUIT";entertainment;theatre;Ixelles;THÉÂTRE MOLIÈRE;50,833343;4,366629
DG2004/2684;Anonym (Künstler_in);um 1890;3;"COCHER! À LA RENAISSANCE! Actualité-Opérette en 3 actes & 5 tableaux par Mr. Théo HANNON; Grand Succès! Tous le soirs a 8 heures; Theatre de la Renaissance; 44 Rue de Brabant, Bruxelles";entertainment;play;Brussels;44 Rue de Brabant;50,857318;4,36118
DG2004/2685;Anonym (Künstler_in);1890;3;"1890; EXPOSITION LOCALE DE St. GILLES lez-Bruxelles dans les Ecoles Moyennes-Communales; 60me ANNIVERSAIRE de l'Indépendance Nationale; Fetes et concerts;";entertainment;exhibition;Saint-Gilles-​lez-Bruxelles;;50,827019;4,34374
DG2004/2687;Anonym (Künstler_in);um 1890;3;"MUSÉE MAURICE CASTAN; MISS ANNIE JONES; La véritable Femme à Barbe";entertainment;exhibition;Brussels;;50,846647;4,352233
DG2004/2689;Anonym (Künstler_in);um 1890;2;"THE HOWE MACHINE CO. BRIDGETON-GLASGOW; New Howe Cycles";travel;bicycle;Glasgow;;55,864237;-4,251806
DG2004/2690;Anonym (Künstler_in);um 1890;3;"GRAND CAFÉ; GAND; ROBERT NEUENHAGEN; Spécialité de Huitres de Zélande; Buffet a la Hambourg; Consommations de 1.er Choix; Dortmund Munich";entertainment;cafe;Ghent;;51,054342;3,717424
DG2004/2691;Anonym (Künstler_in);1890;3;"CONCOURS DE DANSE; fin DE SIÈCLE À LA FÊTE DE NUIT DE L'ALCAZAR; le 31 décembre 1890; Veille de L' An; G.D Succès Parisien";entertainment;dance;Paris;;48,856614;2,352222
DG2004/2702r;Anonym (Künstler_in);um 1890;3;"OLYMPIA DE LONDRES; Boulevard du Midi, pres de la Gare du Midi; 2 representations par Jour. À 5 & 9 heures; Direction Kerarlfy & Maugé; L'ORIENT DE BOLOSSY KIRALFY; Spectacle Gèant; et 5 Tableaux";entertainment;show;Brussels;Boulevard du Midi, pres de la Gare du Midi, ;50,838963;4,341288
DG2004/2702v;Anonym (Künstler_in);um 1890;3;"OLYMPIA DE LONDRES; L'ORIENT DE BOLOSSY KIRALFY […]";entertainment;show;Brussels;Boulevard du Midi;50,838963;4,341288
DG2004/2705;Anonym (Künstler_in);um 1890;3;"SALLE DU SABBAT; Les Grottes de Rochefort BELGIQUE […]";entertainment;caves;Rochefort;Belgium;50,155281;5,2266
DG2004/2707;Anonym (Künstler_in);um 1890;3;"ORION CYCLES; BRUXELLES; 122, Boul.d du Nord";travel;bicycle;Brussels;122 Boulevard du Nord;50,85034;4,35171
DG2004/2716;Anonym (Künstler_in);um 1890;3;"Cirque BUSCH; CIRQUE ROYAL DE BRUXELLES; Miss JEAL; artiste écuyère américaine";entertainment;circus;Brussels;;50,846647;4,352233
DG2004/2718;Anonym (Künstler_in);um 1890;3;"L'ÉGYPTE À BRUXELLES; pour la première fois à Bruxelles; Ouverture le 16 Avril; au Boulevard Jamar";entertainment;exhibition;Brussels;Boulevard Jamar;50,839109;4,339167
DG2004/2720;Anonym (Künstler_in);um 1890;3;"THEATRE ROYAL DES GALERIES ST. HUBERT; LA CIGALE ET LA FOURMI; OPÉRA-COMIQUE DE DURU & CHIVOT; MUSIQUE DE E. AUDRAN";entertainment;opera;Brussels;;50,846647;4,352233
DG2004/3781;Anonym (Künstler_in);um 1890;7;"CACAO BLOOKER; AMSTERDAM";food;cacao;Amsterdam;;52,370216;4,895168
DG2004/3782;Anonym (Künstler_in);um 1890;7;"NEDERLANDSCHE VEREENIGING ONS LEGER; SECRETARIAT: ROTTERDAM";politics;;Rotterdam;;51,92442;4,477733
DG2004/3825;Anonym (Künstler_in);um 1890;8;Kriegsenzyklopädie des Verlags Sytin in Moskau;entertainment;book;Moscow;;55,755826;37,6173
DG2004/647;Grün Jules Alexandre (Künstler_in);um 1890;3;"MONACO; Avril; EXPOSITION ET CONCOURS DE CANOTS AUTOMOBILES";entertainment;exhibition;Monaco;;43,739526;7,42764
DG2004/574;Choubrac Alfred (Künstler_in);um 1890;3;"FOLIES-BERGÈRE; LA BELLE ET LA BÊTE; Ballet";entertainment;ballet;Paris;32 Rue Richer;48,874204;2,344856
DG2004/580;Choubrac Alfred (Künstler_in);um 1890;3;"FOLIES-BERGÈRE; Les Sisters BARRISON";entertainment;show;Paris;32 Rue Richer;48,874204;2,344856
DG2004/581;Choubrac Alfred (Künstler_in);um 1890;3;"FOLIES-BERGÈRE; Les Sisters BARRISON";entertainment;show;Paris;32 Rue Richer;48,874204;2,344856
DG2004/509;Ballurian Paul (Künstler_in);um 1890;3;"LE POLE NORD; Rue de l'Evêque, BRUXELLES; Palais d'Hiver; Patinage Perpétuel sur Vraie Glace; Tir vélo Attractions; Orchestre de 40 Musiciens";entertainment;ice skating;Brussels;Rue de l'Evêque;50,850299;4,351806
DG1914/709/5;Weber Johannes (Künstler_in);1890;1;"K.K. PRIV. SÜDBAHN-GESELLSCHAFT; WIEN-TRIEST; Fahrordnung 1890";travel;train;Triest;;45,642056;13,767606
DG2004/2726;Balzer P. (Künstler_in);um 1890;3;"MONTREUX; aux ROCHERS DE NAYE; CHEMIN DE FER TERRITET-GLYON; aux Rocerhs de Naye; Montreux Lac Léman, Suisse";travel;destination;Montreux;;46,431221;6,91068
DG2004/2727;Balzer P. (Künstler_in);um 1890;2;"GENEVA; NONMAGNETIC WATCH CO; NEW YORK";luxury;watches;New York City;;40,712784;-74,005941
DG2004/2638;Rassenfosse Armand (Künstler_in);um 1890;3;"BOCK CHAMPAGNE; ALBERT MOUSSOUX; LIÈGE";food;alcohol;Liège;;50,642097;5,571534
DG2004/2639;Rassenfosse Armand (Künstler_in);um 1890;3;"HUILE RUSSE; H. PIRON; BRUXELLES";household;shoe polish;Brussels;Rue Bara, 46;50,836934;4,333237
DG2004/2640;Rassenfosse Armand (Künstler_in);um 1890;3;"The FINE ART and general Insurance Cy-Ltd; Assurance d'Oevres d'Art contre tousriques; BRUXELLES";household;art insurance;Brussels;4 Rue de Suisse;50,833084;4,354198
DG2004/2641;Rassenfosse Armand (Künstler_in);um 1890;3;"The FINE ART and general Insurance Cy-Ltd; Assurance d'Oevres d'Art contre tousriques; BRUXELLES";household;art insurance;Brussels;4 Rue de Suisse;50,833084;4,354198
DG2004/2642;Rassenfosse Armand (Künstler_in);um 1890;3;VRAIMENT DÉLICIEUSE LA BLONDE BIÈRE DE DIEKIRCH;food;beer;Diekirch;;49,867178;6,159563
DG2004/2645;Rassenfosse Armand (Künstler_in);um 1890;3;TOURNOI DE LUTTE DE LIEGE A LA FONTAINE;entertainment;"sports competition; wrestling tournament";Liège;;50,642097;5,571534
DG2004/2646;Rassenfosse Armand (Künstler_in);um 1890;3;"THE IMPROVED ELECTRIC GLOW LAMP; BRUXELLES; Rue Henri Maus 33-35; Durèe Garantie 1000 Heurs; Lumière sans Ègale; 45% Economie de Courant";household;electric lamp;Brussels;Rue Henri Maus 33-35;50,847574;4,350108
DG2004/2647;Rassenfosse Armand (Künstler_in);um 1890;3;"CALORIFÈRE BIJOU AU PÉTROLE; inexplosible; sans odeur; en vente chez le principaux quincaillier; J. LISSOIR DECHESNE; LIÈGE";household;stove;Liège;;50,642097;5,571534
DG2004/2528;Berchmans Emile (Künstler_in);um 1890;3;"THE FINE ART AND GENERAL INSURANCE; Company Limited; 4. Rue de Suisse BRUXELLES; Vol de Bijoux et Argenteries etc";household;art insurance;Brussels;4 Rue de Suisse;50,833084;4,354198
DG2004/525;Biais Maurice Amédée Louis (Künstler_in);um 1890;3;"LA MAISON MODERNE; 82 Rue de Ptj Champs pres Rue de La Paix, PARIS";household;shop;Paris;Rue de La Paix;48,869581;2,331534
DG2004/2615;Keuller Vital (Künstler_in);1890;3;"VILLE DE BRUXELLES; Célébration du 60e Anniversaire de la proclamation de L'INDÉPENDANCE NATIONALE; 1890; Grand Festival international;";entertainment;"exhibition; show; party";Brussels;;50,846647;4,352233
DG2004/543;Carjat Étienne (Künstler_in);um 1890;3;"Ne pas se tromper d'adresse; Photographie; ETIENNE CARJAT ET CIE.; Rue Pigalle 62";entertainment;photography;Paris;Rue Pigalle 62;48,88154;2,336774
DG2004/554;Chéret Jules (Künstler_in);1890;3;"ÉLYSÉE MONTMARTRE; BAL MASQUÉ; Tous les Mardis; Vendredi Soirée de Gala";entertainment;ball;Paris;Montmartre;48,886193;2,34309
DG2004/555;Chéret Jules (Künstler_in);um 1890;3;"ELDORADO; Music Hall; Tous les Soirs; Boulevard de Strasbourg 4";entertainment;concert;Paris;Boulevard de Strasbourg 4;48,869822;2,355035
DG2004/557;Chéret Jules (Künstler_in);1890;3;"PALAIS DU TROCADÉRO; SAMEDI 14 JUIN; Les Naufragés";entertainment;play;Paris;;48,856614;2,352222
DG2004/563;Chéret Jules (Künstler_in);um 1890;3;"FOLIES-BERGÈRE; La Danse du Feu";entertainment;show;;;;
DG2004/568;Chéret Jules (Künstler_in);1890 (1893?);3;"PALAIS DU TROCADÉRO; Fête de Charité; SOCIÉTÉ DE SECOURS AUX FAMILLES";entertainment;charity ball;Paris;;48,856614;2,352222
DG2004/569;Chéret Jules (Künstler_in);um 1890;3;"MUSÉE GRÉVIN; Les DAMES HONGROISES";entertainment;concert;Paris;Montmartre;48,886193;2,34309
DG2004/726;Meunier Georges (Künstler_in);um 1890;3;"LOX; TONI-APÉRITIF par excellence; Kina-Loxa; Coca; Kola; Dépot: 87, Avenue d'Italie, Paris";food;drink;Paris;87, Avenue d'Italie;48,824028;2,358426
DG2004/573;Choubrac Alfred (Künstler_in);um 1890;3;"LES AMOURS SECRÈTES DE NAPOLÉON III; par Pierre Vésinier";entertainment;book;Paris;26 Rue des ècoles;48,848979;2,347877
DG2004/578;Choubrac Alfred (Künstler_in);um 1890;3;"FOLIES-BERGÈRE; LE SPECTRE DE PAGANINI";entertainment;show;Paris;32 Rue Richer;48,874204;2,344856
DG2004/8594;Hynais Vojtech (Künstler_in);1890;1;ALLGEMEINE LANDESAUSSTELLUNG IN PRAG 1891 […];entertainment;exhibition;Prague;;50,084089;14,423677
DG2004/2549;Combaz Gisbert (Künstler_in);um 1890;3;"LA LIBRE ESTHETIQUE; SALON ANNUEL; MUSEE MODERNE";entertainment;exhibition;Paris;;48,856614;2,352222
DG2004/2550;Crespin Adolphe (Künstler_in);um 1890;3;"ADOLPHE CRESPIN; PEINTURE DECORATIVE ET DE BATIMENT; Rue de L'Artichaut 31, BRUXELLES";household;painter;Brussels;Rue de L'Artichaut 31;50,848524;4,375196
DG2004/2597;Duyck Edouard (Künstler_in);um 1890;3;"PARIS-BRUXELLES; POLITIQUE. FINANCES. SCIENCES. LITTÉRATURE. BEAUX-ARTS. THÉÂTRE. SPORT.";entertainment;publisher;Paris;;48,856614;2,352222
DG2004/2601;Duyck Edouard (Künstler_in);1890;3;"Société provinciale D'Argriculture du Brabant; EXPOSITION GÉNÉRALE D'AGRICULTURE; 24 AOUT AU 1er OCTOBRE 1890";entertainment;exhibition;Brabant;;51,482654;5,232169
DG2004/3786;Fischer Paul (Künstler_in);um 1890;9;"LA DANOISE; Cycle uden Kaede; Aktieselskabet nordisk cycle fabrik; kobenhavn; frihavnen o; ";travel;bicycle;Copenhagen;;55,676097;12,568337
DG2003/1928;Fitger Arthur Heinrich Wilhelm (Künstler_in);1890;1;Nordwestdeutsche Gewerbe- und Industrie-, Marine- Handels- und Kunst-Ausstellung in Bremen 1890;entertainment;exhibition;Bremen;;53,079296;8,801694
DG2004/1451;Gerasch Franz (Künstler_in);um 1890;2;HASELMAYER'S EDUCATED BIRDS;poster;;;;;
DG2004/1447;Graner Ernst (Künstler_in);um 1890;1;"Restaurant Mirabell im schönsten Garten SALZBURG'S neben dem Theater Restaurationslokal 1. Ranges; Concerte; Fremdenzimmer";entertainment;restaurant;Salzburg;;47,80949;13,05501
DG2004/646;Grün Jules Alexandre (Künstler_in);um 1890;3;"LA PÉPINIÈRE; Gare St Lazare; Oh! Lala! Mon empereur!; 2 Actes, 14 tabx; Revue de Mougel et de Marsan";entertainment;play;Paris;Gare St Lazare;48,876301;2,325403
DG2004/649;Grün Jules Alexandre (Künstler_in);um 1890;3;"AU ""CARILLON"" Tous le Soirs a 9h1/2; 43 Rue de la Tour d'Auvergne;L'affaire Pétard contre Pétard; Tribunal du Carillon";entertainment;play;Paris;43 Rue de la Tour d'Auvergne;48,8795;2,340977
DG2004/723;Métivet Lucien (Künstler_in);um 1890;3;"EUGÉNIE BUFFET; das son répertoire réaliste; Concert de LA CIGALE; 124 Boulevard Rochechouart";entertainment;concert;Paris;124 Boulevard Rochechouart;48,882342;2,339869
DG2004/1136;Willette Adolphe (Künstler_in);um 1890;3;FER BRAVAIS CONTRE L'ANÉMIE;household;health remedy;;;;
DG2004/1135;Willette Adolphe (Künstler_in);um 1890;3;"ELYSÉE MONTMARTRE; Fete de nuit; tous les mardis; Bal […]";entertainment;ball;Paris;Montmartre;48,886193;2,34309
DG2004/746;Pal Jean de (Künstler_in);um 1890;3;"DÉESSE; 16. Rue Halevy, PARIS";travel;bicycle;Paris;16 Rue Halevy;48,872625;2,333234
DG2004/747;Pal Jean de (Künstler_in);um 1890;3;"ARISTA; LA MEILLEURE EAU DE TABLE; eau de source stérilisée; a 120.0 de Chaleur; Gazeuse ou non Gazeuse; Procédés Rouart, Geneste, Herscher; Dépot Général: Pour Paris, Seine […] 22. Rue de Paradis, Paris";food;water;Paris;22 Rue de Paradis;48,874923;2,353271
DG2004/748;Pal Jean de (Künstler_in);um 1890;3;"FOLIES-BERGÈRE; Tous les soirs";entertainment;restaurant;Paris;32 Rue Richer;48,874204;2,344856
DG2004/749;Pal Jean de (Künstler_in);um 1890;3;"THÉÂTRE DES BOUFFES-PARISIENS; Mr Huguenet, Mme Rosine Maurel; L'ENLÈVEMENT DE LA TOLEDAD";entertainment;play;Paris;4 Rue Monsigny;48,86839;2,335403
DG2004/750;Pal Jean de (Künstler_in);um 1890;3;"CLÉMENT; PARIS; Société des Vèlocipédes Clement; 20. Rue Brunel, Paris";entertainment;bicycle club;Paris;20 Rue Brunel;48,877104;2,288756
DG2004/751;Pal Jean de (Künstler_in);um 1890;3;"THÉÂTRE DES BOUFFES-PARISIENS; Simon Girard; Tous les Soirs; L'ENLÈVEMENT DE LA TOLEDAD";entertainment;play;Paris;4 Rue Monsigny;48,86839;2,335403
DG2004/752;Pal Jean de (Künstler_in);um 1890;3;"The Franco-American BICYCLE CO.; Falcon; 42., Avenue de Wagram, Paris";travel;bicycle;Paris;42 Avenue de Wagram;48,877262;2,297931
DG2004/754;Pal Jean de (Künstler_in);um 1890;3;"COURSES DE SPA; INAUGURATION DU VÉLODROME; Réunions du 22 au 29 Juillet; Matches sensationnels";entertainment;bicycle race;Spa;;50,49243;5,86432
DG2004/1431;Munkácsy Mihály von (Künstler_in);um 1890;4;"ECCE HOMO; MUNKÁCSY MIHÁLY; Legujabb Nagy Alkotása; Látható Minden Nap Reggelt´l Ejfèlig; Belépti jegyek a pénztárnál";entertainment;play;;;;
DG2004/3752;Israels Josef (Künstler_in);um 1890;2;"CABINET PICTURES by Josef Israels; GOUPIL GALLERY; 5 Regent St Pall Mall";entertainment;exhibition;London;5 Regent Street Pall Mall;51,508238;-0,133812
DG2003/2089;Kuschel Maximilian Robert Otto (Künstler_in);1890;1;"MÜNCHENER JAHRES-AUSSTELLUNG; von Kunstwerken aller Nationen; im Kgl. Glaspalaste; 1. Juli bis Mitte Oktober 1890";entertainment;exhibition;Munich;;48,136916;11,575994
DG2004/735;Nadar Gaspard-Félix Tournachon (Künstler_in);um 1890;3;"BOUFFES PARISIENS; BA-TA-CLAN; Chinoiserie Musicale; Musique de J. OFFENBACH";entertainment;"concert; musical";Paris;4 Rue Monsigny;48,86839;2,335403
DG2004/753;Pal Jean de (Künstler_in);um 1890;2;"FALCON; The Franco-American BICYCLE CO.; 42 Avenue de Wagram; PARIS";travel;bicycle;Paris;42 Avenue de Wagram;48,877262;2,297931
DG2004/756;Pal Jean de (Künstler_in);um 1890;3;"CASINO DE PARIS; PROGRAMME; Grand Manège VÉLOCIPÉDIQUE; CONCERT INSTRUMENTAL DE DAMES ANGLAISES; de l'Opéra Royal de Covent Garden; Sous la direction; LILA CLAY";entertainment;concert;Paris;;48,856614;2,352222
DG2004/757;Pal Jean de (Künstler_in);um 1890;3;"A BAS L'INTERMÉDIAIRE; GUSTAVE FABRE; NIMES";household;remedy;Nimes;;43,836699;4,360054
DG2003/1129;Schließmann Hans (Künstler_in);1890;1;"Narrenschiff; Lumpenball 1890";entertainment;ball;Temesvar;;45,748872;21,208679
DG2004/1488;Stur Karl von (Künstler_in);um 1890;1;"In der Konstitutionellen Vorstadt-Zeitung; neuer Roman Der schwarze Michl; von Karl Schram";entertainment;novel;Vienna;;48,208174;16,373819
DG2004/1142;Anonym (Künstler_in);1891;3;"VILLE DE SPA; EXPOSITION INTERNATIONALE AU WAUX-HALL; 1891; Hygiène, Sport & Art Industriel; sous les auspices de l'administration communale";entertainment;exhibition;Brussels;Waux Hall;50,845097;4,365428
DG2004/2692;Anonym (Künstler_in);1891;3;"ASSOCIATION BELGE DE PHOTOGRAPHIE; EXPOSITION INTERNATIONALE; du 11 Juillet au 5 Septembre 1891; MUSÉE MODERNE";entertainment;exhibition;Belgium;;50,503887;4,469936
DG2004/2700;Anonym (Künstler_in);1891;3;"LA SANS RIVALE; BRIQUETTE NATIONALE; ALLUME-FEU PERFECTIONNÉ; BRUXELLES";household;lighter;Brussels;;50,846647;4,352233
DG2004/2709;Anonym (Künstler_in);1891;3;"1891; EXPOSITION INTERNATIONALE DE CHATS; SALONS MODERNES; BRUXELLES";entertainment;exhibition;Brussels;;50,846647;4,352233
